name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Erlangen, Bayern, Deutschland",2022-02-22,7.4,2.9,5.3,4.2,-2.1,1,1,74.3,0.396,100,33.33,"rain,snow",0.7,3.7,58,32.2,258.1,1018.8,78,33.9,61.2,5.3,3,10,2022-02-22T07:12:56,2022-02-22T17:46:52,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-23,10.3,0.1,5.5,10.3,-3.9,2.8,1.3,76.6,1.307,100,16.67,rain,0,2.4,64.1,25.5,251.8,1025.6,23.5,37.8,123.7,10.6,6,10,2022-02-23T07:11:00,2022-02-23T17:48:32,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-24,12.4,-1.3,5.4,12.4,-5.3,3,0.8,74.4,1.121,100,8.33,"rain,snow",0.6,0.4,64.4,42.7,199,1017.5,85.7,36.7,91.2,8,5,10,2022-02-24T07:09:03,2022-02-24T17:50:12,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-25,5.7,0.7,2.8,1.5,-3.7,-1.4,-0.8,78.4,1.14,100,29.17,"rain,snow",1.1,0.8,49,30.3,247.6,1024.1,67.8,41.6,88.1,7.7,4,10,2022-02-25T07:07:05,2022-02-25T17:51:51,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-26,5.3,-0.4,2.3,4.5,-2.9,0.6,-0.9,80.9,0,0,0,snow,0.5,1.4,31,14.4,310.5,1033.6,54.4,32.9,57.8,5,3,10,2022-02-26T07:05:06,2022-02-26T17:53:30,0.89,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-27,6.6,-1.5,1.9,3.6,-4.3,-0.7,-3.5,69.9,0,0,0,,2.3,1.7,37.4,23.5,91.7,1034.5,8.5,37.6,129.5,11.3,6,10,2022-02-27T07:03:07,2022-02-27T17:55:09,0.94,Clear,Clear conditions throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-28,8.1,-4.4,1.6,6.3,-4.4,0.2,-5.4,62.7,0,0,0,,0,0.2,32.4,17.3,62,1033.7,0,38.6,142.9,12.3,6,10,2022-02-28T07:01:07,2022-02-28T17:56:48,0.97,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-01,7.2,-4.2,0.7,4.7,-8.4,-2.3,-7.8,55.9,0,0,0,,0,0,35.6,17.1,101.4,1031.7,11.6,46.8,156,12.2,6,10,2022-03-01T06:59:06,2022-03-01T17:58:26,1,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-02,7.2,-4.1,0.3,7.2,-7.7,-0.8,-5.9,65.8,0,0,0,,0,0,14.4,9.9,83,1025.7,59,41.8,90.8,7.2,3,10,2022-03-02T06:57:04,2022-03-02T18:00:04,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-03,8.7,-6.2,1,6.4,-9.4,-0.6,-6.8,61.3,0,0,0,,0,0,29.2,15,28.9,1020.4,4.2,33,154.7,12.2,6,10,2022-03-03T06:55:01,2022-03-03T18:01:42,0,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-04,6.1,-4.7,0.8,3.8,-6.9,-1,-4.8,68.7,0,0,0,,0.6,0.2,23,16.5,59.1,1021.8,7.2,28.6,154,12.2,6,10,2022-03-04T06:52:58,2022-03-04T18:03:19,0.02,Clear,Clear conditions throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-05,4.5,-3.5,0.8,1.4,-5.1,-1.5,-5.2,66.6,0,0,0,,0.4,0.7,25.2,20,82,1022.9,50.7,34.5,98.7,7.8,5,10,2022-03-05T06:50:54,2022-03-05T18:04:57,0.04,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-06,3.1,-1.4,0.9,0.1,-4.5,-2.3,-6.3,59.2,0,0,0,,0,0.1,29.2,15.1,38.7,1023.6,48.4,41.1,73.4,5.7,4,10,2022-03-06T06:48:50,2022-03-06T18:06:33,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-03-07,4,-3.1,-0.2,1.3,-7.2,-3.6,-8,57,0,0,0,,0,0,31,23,63.5,1026.2,15.6,38.8,158.1,13.1,6,10,2022-03-07T06:46:45,2022-03-07T18:08:10,0.12,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
