day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
159,0.0,0.0,0.9966798742351237,0.0,0.003320125764876207,1.208716222236101e-28,2.198051890738544e-277,2.006640251529752,2
160,0.9996465250533384,0.0,0.00035347443201840125,0.0,5.146433327435601e-10,1.2573063596337683e-101,0.0,0.0007069509226101335,0
161,0.9993561565401804,0.0,0.0006207897735955014,0.0,2.3053686224149384e-05,5.598962029193786e-75,0.0,0.0013337942920876003,0
162,0.9996607349073825,0.0,0.00033807144359622183,0.0,1.1936490212636464e-06,2.8445978761861015e-94,0.0,0.0006809174832774983,0
163,0.0,0.0,0.021080536192265655,0.0,0.9789194638077343,2.0419771748414988e-29,0.0,3.9578389276154686,4
164,0.9998968660371792,2.8807846570885857e-187,0.00010313341038175416,0.0,5.524391467962946e-10,1.6771913478639965e-93,0.0,0.0002062690305200955,0
165,0.999982593457872,0.0,1.740650421960697e-05,0.0,3.7908430471185496e-11,6.907371854752516e-124,0.0,3.481316007293582e-05,0
166,0.999397833588148,0.0,0.0005191276811314288,0.0,8.303873072048744e-05,3.0559106871673186e-64,0.0,0.0013704102851448074,0
167,0.9998250844779031,0.0,0.00017376086392000781,0.0,1.1546581769570075e-06,5.303975117207813e-73,0.0,0.00035214036054784367,0
168,0.9999778092582413,0.0,2.2183048213806497e-05,0.0,7.693544908643028e-09,2.0775711601702465e-115,0.0,4.439687060724757e-05,0
169,0.9999806707616852,0.0,1.901915949627854e-05,0.0,3.1007881856046294e-07,8.410258142647566e-105,0.0,3.927863426679893e-05,0
170,0.0,0.0,0.10825908128240648,0.0,0.8917409187175935,4.385546831723886e-38,0.0,3.783481837435187,4
171,0.9998896369073615,0.0,0.0001103630786384196,0.0,1.400005329271596e-11,1.8081560838376643e-106,0.0,0.00022072621327705238,0
172,0.0,3.4003714633041626e-102,0.0401219681861496,0.0,0.9598780318138505,2.7260011203660516e-29,0.0,3.919756063627701,4
173,2.1682183219505902e-86,0.0,0.9830481442058745,0.0,0.01695185579412546,3.7055197643741566e-79,0.0,2.033903711588251,2
174,0.0,0.0,0.9999999754774628,0.0,0.0,2.452253735009499e-08,0.0,2.0000000735676124,2
175,0.0,0.9998763774403606,0.00012356477801922703,0.0,5.778162003608886e-08,1.2419766743740929e-56,0.0,1.0001237381228794,1
176,0.9996771782693282,0.0,0.00032121123626167175,0.0,1.6104944100513913e-06,3.532939078011077e-98,0.0,0.0006488644501635491,0
177,0.0,0.9999961665283708,3.833471629198375e-06,0.0,3.977108631877967e-18,2.1180330117725082e-50,8.613438095604695e-250,1.0000038334716292,1
178,0.0,0.9955018982194855,0.0013092854231015211,0.0,0.0031888163574129444,5.528399663814105e-44,0.0,1.0108757344953405,1
179,0.946627439186331,0.0,0.00015305574082644856,0.0,0.05321950507284258,3.8886205007388386e-17,3.281671180044636e-232,0.21318413177302342,0
180,2.633515846307526e-88,4.204326703216307e-20,0.041521611463713436,0.0,0.9584783885362866,9.293629341294405e-53,0.0,3.9169567770725733,4
181,0.0,0.0,0.999999983607992,0.0,4.373051102934165e-306,1.6392008037365202e-08,0.0,2.000000049176024,2
182,0.999816793547575,0.0,0.0001832063108153904,0.0,1.4160960490432319e-10,5.881067276142377e-121,0.0,0.0003664131880692004,0
183,0.9999246907598769,0.0,7.530733004026526e-05,0.0,1.910082869953763e-09,6.286559046147398e-121,0.0,0.00015062230041201034,0
184,0.9612324634721023,0.0,0.0005821141139123506,0.0,0.038185422413985336,8.607352582653236e-37,0.0,0.15390591788376604,0
185,0.9999583142022181,0.0,4.1665138694756006e-05,0.0,2.0659087114171278e-08,1.998565035789957e-89,0.0,8.341291373796869e-05,0
186,0.9998995938945815,0.0,4.676364857690485e-05,0.0,5.364245684166273e-05,9.515410929203303e-32,0.0,0.00030809712452046064,0
187,0.0,0.0,3.1266601423388667e-06,0.9999867695806224,2.423179411544308e-301,1.010375923522101e-05,0.0,3.000017080858328,3
188,0.0,0.0,0.29633977385134025,0.0,0.7036602261486596,7.875994861342132e-35,0.0,3.407320452297319,4
189,0.0,0.0,0.09487898669691097,0.0,0.905121013303089,1.8259842112042856e-23,0.0,3.8102420266061783,4
190,3.59720688256695e-90,0.0,0.002128084748034121,0.0,0.9978719152515251,4.407587910502728e-13,3.776018180168181e-253,3.9957438305043724,4
191,0.0,0.0,0.9998801269931192,0.0,2.71546430385852e-19,0.00011987300688077353,1.3165727416324691e-28,2.0003596190206423,2
192,0.9997490614513214,0.0,0.00025093854865925093,0.0,1.9473244888469723e-14,1.2464380370871356e-120,0.0,0.0005018770973963948,0
193,0.9995613005825811,0.0,0.00038188258596849806,0.0,5.68168314505345e-05,8.019632016155731e-69,0.0,0.0009910324977391342,0
194,0.0,0.0,0.07268357700984462,0.0,0.9273164229901554,1.2916766266879842e-32,0.0,3.8546328459803108,4
195,0.9990920929266488,0.0,0.00031800123017682014,0.0,0.000589905843174433,2.0398409015641594e-40,0.0,0.0029956258330513723,0
196,0.9998599699740801,0.0,0.00013993300601165923,0.0,9.701990835190901e-08,1.9213141078961658e-78,0.0,0.0002802540916567261,0
197,0.9999664467779323,0.0,3.35531946788068e-05,0.0,2.73888512101698e-11,1.4007678860622313e-105,0.0,6.710649891301845e-05,0
198,0.9999871179318537,0.0,1.2881690159268164e-05,0.0,3.779871286090638e-10,2.1353883168546667e-102,0.0,2.5764892267050765e-05,0
199,0.9999920912849956,0.0,7.90811177049383e-06,0.0,6.032338224060159e-10,1.3486019653558614e-125,0.0,1.5818636476277285e-05,0
200,0.9999356200066434,0.0,5.909106469420525e-05,0.0,5.288928662280783e-06,4.331175550799056e-95,0.0,0.00013933784403753362,0
201,0.0,0.0,0.999718734180249,0.0,0.00028126581974554325,5.352846906752605e-15,1.6101520243768136e-174,2.000562531639507,2
202,0.9997617084781922,0.0,0.00023821802915927602,0.0,7.349264859328651e-08,6.057775946406726e-111,0.0,0.0004767300289129252,0
203,0.0,0.0,0.9999999708635917,0.0,2.9112802196651745e-08,2.3606181732628203e-11,3.5940417172082023e-191,2.0000000582964232,2
204,0.9996614465859174,0.0,0.0003259153668570944,0.0,1.2638047225484758e-05,1.5967871279122895e-93,0.0,0.0007023829226161279,0
205,3.1829667287559542e-86,0.0,0.7550864873195036,0.0,0.24491351268049646,2.0640637419729845e-86,0.0,2.489827025360993,2
206,0.9686658734155754,0.0,0.00027573868599165967,0.0,0.031058387898432932,7.597815089545784e-32,0.0,0.12478502896571504,0
207,0.9985103564207624,0.0,0.00047616794081815103,0.0,0.0010134756384193055,1.0251670816041232e-47,0.0,0.0050062384353135245,0
208,0.9991698415885402,0.0,0.0008048007494190467,0.0,2.5357662040808173e-05,1.0634152496863814e-49,0.0,0.0017110321470013262,0
209,0.0,0.0,1.0,0.0,0.0,3.017079905056947e-20,0.0,2.0,2
210,0.0,0.0,0.940408319733342,0.0,0.05959168026582406,3.9542178612827145e-29,8.338636745351241e-13,2.1191833605349832,2
211,0.9650737680115787,0.0,0.0011313075008427685,0.0,0.03379492448757848,1.5890198292760751e-44,0.0,0.13744231295199946,0
212,0.8996857885188774,0.0,0.00043811618692785113,0.0,0.09987609529419483,1.3829298901086064e-26,0.0,0.40038061355063503,0
213,0.9957603897406433,2.3959576102500164e-45,0.0010913475290452177,0.0,0.0031482627303115692,3.4018030691575757e-63,0.0,0.014775745979336712,0
214,0.9999002347505059,0.0,9.954075038804566e-05,0.0,2.2449910600795943e-07,1.9312001461824124e-110,0.0,0.00019997949720012315,0
215,0.9999764748992165,0.0,2.3409095223241055e-05,0.0,1.1600556025085698e-07,3.0519928561039404e-109,0.0,4.7282212687485536e-05,0
216,0.0,0.0,0.018687818882571306,0.0,0.9813121811174287,4.520759917458778e-50,0.0,3.962624362234857,4
217,0.0,0.9999784640899179,2.1535910082185034e-05,0.0,1.5417882749029584e-250,1.358547844221355e-38,1.1728216421125286e-181,1.0000215359100821,1
218,0.9999858599316768,0.0,1.4135200865259783e-05,0.0,4.86745809436319e-09,1.2721941084209278e-88,0.0,2.8289871562897018e-05,0
219,0.9999877105420947,0.0,1.2288658083145698e-05,0.0,7.998220684684084e-10,4.2254698253519807e-100,0.0,2.458051545456527e-05,0
220,0.999995211224917,0.0,4.7870188839660225e-06,0.0,1.7561989905858604e-09,1.2912362746625981e-83,0.0,9.581062563894388e-06,0
221,0.9999938810245692,7.351245019452779e-246,6.117429103141894e-06,0.0,1.5463275243134823e-09,1.6173780453694915e-70,0.0,1.2241043516381042e-05,0
222,0.9999953928693099,0.0,4.604795204349298e-06,0.0,2.335485717129194e-09,3.255934559628196e-89,0.0,9.218932351567113e-06,0
223,0.9999852159155769,1.0683833154528286e-12,1.4767711720298649e-05,0.0,1.6371634460594204e-08,5.212161726420751e-81,0.0,2.960091104682299e-05,0
224,0.999814160434275,7.103390267659888e-50,0.00018432615583958566,0.0,1.513409885438836e-06,4.6001833294884843e-85,0.0,0.00037470595122092665,0
225,0.9995394365247589,0.0,0.0003805237137207044,0.0,8.003976152054207e-05,6.665460116735743e-73,0.0,0.001081206473523577,0
226,0.0,0.0,0.003794001004113838,0.0,0.9962059989958861,6.0281170448087145e-22,0.0,3.992411997991772,4
227,1.1433945631851421e-86,0.0,0.7935467718808935,0.0,0.20645322811910657,3.1245658904760197e-59,0.0,2.4129064562382134,2
228,0.9961899690475606,0.0,0.0003730669857924677,0.0,0.0034369639666470106,1.833625844256455e-48,0.0,0.014493989838172978,0
229,0.0,2.8878511514070976e-39,0.9996044622370877,0.0,0.0003955377629123659,5.1990557334030476e-20,0.0,2.0007910755258247,2
230,0.0,0.0,3.5464537506126685e-08,0.0,0.0,0.9999999645354625,0.0,4.999999893606387,5
231,0.0,0.0,3.590555551237882e-06,0.9999964092760586,1.0645173e-317,1.6839023100550097e-10,0.0,2.9999964097812293,3
232,1.1110077417914006e-88,0.0,0.02774179235260642,0.0,0.9722582076473936,7.28522999439576e-46,3.161853038725316e-168,3.944516415294787,4
233,0.9972202655528632,0.0,0.0009065687072255958,0.0,0.0018731657399111965,1.5900180362469772e-55,0.0,0.009305800374095978,0
234,0.9998004808512544,0.0,0.0001995124279086109,0.0,6.720837027902337e-09,8.771608120612697e-110,0.0,0.0003990517391653334,0
235,0.9993881999660466,0.0,0.0006032529783886303,0.0,8.547055564729316e-06,1.6702721087970405e-86,0.0,0.001240694179036178,0
236,0.9983864780097863,2.5950299872103833e-74,0.0009897552309039782,0.0,0.0006237667593097843,8.23746977374122e-55,0.0,0.004474577499047094,0
237,0.0,0.0,1.0,0.0,2.4404679900263363e-90,6.791295876620435e-28,1.0139821157240761e-128,2.0,2
238,0.0,0.0,2.3668633167997536e-10,0.999999999713085,0.0,5.022880477181781e-11,0.0,2.999999999863771,3
239,0.0,0.0,9.418925815330855e-08,0.0,1.5550897098195334e-23,6.0694557695812205e-18,0.9999999058107418,5.999999623242967,6
240,0.9994364621046927,0.0,0.0005594712679198604,0.0,4.066627387326031e-06,2.795038431408037e-82,0.0,0.0011352090453890249,0
241,0.9984537943273635,0.0,0.0008565022782638524,0.0,0.0006897033943725101,3.5666247184085755e-61,0.0,0.0044718181340177455,0
242,0.9745509449338338,0.0,3.854339770543224e-05,0.0,0.025410509317237307,2.3512233680750514e-09,9.199782391494362e-172,0.10171913582047694,0
